"delta","qrpEnv","censor","tau","3PSM_10","3PSM_100","3PSM_30","3PSM_60","4PSM_10","4PSM_100","4PSM_30","4PSM_60","pcurve_10","pcurve_100","pcurve_30","pcurve_60","PEESE_10","PEESE_100","PEESE_30","PEESE_60","PET_10","PET_100","PET_30","PET_60","PETPEESE_10","PETPEESE_100","PETPEESE_30","PETPEESE_60","puniform_10","puniform_100","puniform_30","puniform_60","reMA_10","reMA_100","reMA_30","reMA_60","TF_10","TF_100","TF_30","TF_60","WAAP-WLS_10","WAAP-WLS_100","WAAP-WLS_30","WAAP-WLS_60"
0.8,"med","none",0.4,0.84,0.374,0.885,0.647,0.569,0.559,0.742,0.8,NA,NA,NA,NA,0.76,0.46,0.636,0.535,0.762,0.438,0.623,0.512,0.746,0.46,0.626,0.535,0.869608826479438,0.81981981981982,0.876,0.86,0.887,0.873,0.93,0.914,0.837349397590361,0.259,0.777665995975855,0.502004008016032,0.87,0.709,0.865,0.768
0,"high","none",0,0.902310924369748,0.585825027685493,0.852307692307692,0.740217391304348,0.900507614213198,0.627212389380531,0.869475847893114,0.752992383025027,NA,NA,NA,NA,0.928,0.684,0.88,0.79,0.904,0.588,0.822,0.713,0.903,0.588,0.822,0.712,0.964169381107492,0.992,0.980842911877395,0.994791666666667,0.92,0.596,0.873,0.768,0.950901803607214,0.820820820820821,0.932459677419355,0.906720160481444,0.955,0.767,0.942,0.884
0.2,"high","none",0,0.818365287588295,0.142857142857143,0.633744855967078,0.357068062827225,0.783047426841574,0.127725856697819,0.744306418219462,0.433747412008282,NA,NA,NA,NA,0.938,0.77,0.89,0.825,0.85,0.302,0.708,0.485,0.851,0.486,0.71,0.539,0.990215264187867,0.59552495697074,0.994454713493531,0.908582089552239,0.776,0.058,0.522,0.225,0.90990990990991,0.727272727272727,0.879032258064516,0.827272727272727,0.893,0.811,0.807,0.761
0.5,"high","none",0,0.855846774193548,0.737406216505895,0.888429752066116,0.813880126182965,0.576612903225806,0.593347639484979,0.59504132231405,0.585263157894737,NA,NA,NA,NA,0.829,0.489,0.736,0.602,0.723,0.097,0.442,0.236,0.762,0.489,0.715,0.601,0.933403805496829,0.251,0.70523138832998,0.487,0.859,0.151,0.626,0.379,0.925388601036269,0.926748057713652,0.930131004366812,0.931995540691193,0.935,0.941,0.947,0.942
0.8,"high","none",0,0.872708757637475,0.881731784582893,0.897540983606557,0.895553257497415,0.781059063136456,0.794303797468354,0.822745901639344,0.805584281282316,NA,NA,NA,NA,0.869,0.558,0.769,0.667,0.822,0.321,0.654,0.483,0.855,0.558,0.769,0.667,0.922922922922923,0.661,0.842,0.765,0.953,0.712,0.921,0.835,0.940082644628099,0.897891231964484,0.925886143931257,0.908196721311475,0.947,0.926,0.944,0.928
0,"high","none",0.2,0.754582484725051,0.037111334002006,0.430150753768844,0.152304609218437,0.747738693467337,0.0561685055165497,0.476334340382679,0.173520561685055,NA,NA,NA,NA,0.847,0.547,0.735,0.654,0.829,0.497,0.687,0.602,0.83,0.501,0.691,0.605,0.903361344537815,0.924528301886792,0.933463796477495,0.915851272015656,0.895,0.7,0.867,0.804,0.922922922922923,0.943,0.939759036144578,0.942,0.918,0.866,0.897,0.888
0.2,"high","none",0.2,0.645645645645646,0.0200400801603206,0.324949698189135,0.115346038114343,0.706706706706707,0.037037037037037,0.462235649546828,0.150602409638554,NA,NA,NA,NA,0.831,0.467,0.698,0.538,0.767,0.348,0.593,0.42,0.769,0.353,0.588,0.42,0.965976331360947,0.963597430406852,0.974025974025974,0.988479262672811,0.85,0.372,0.733,0.565,0.917917917917918,0.96,0.949,0.965,0.916,0.931,0.902,0.918
0.5,"high","none",0.2,0.773773773773774,0.111,0.693079237713139,0.36036036036036,0.472472472472472,0.233,0.596984924623116,0.507507507507508,NA,NA,NA,NA,0.759,0.453,0.652,0.528,0.709,0.322,0.54,0.398,0.709,0.453,0.599,0.526,0.93903743315508,0.693,0.886,0.797,0.855,0.309,0.714,0.54,0.888097660223805,0.891528925619835,0.913179916317992,0.92436974789916,0.931,0.889,0.925,0.924
0.8,"high","none",0.2,0.754262788365095,0.688,0.85513078470825,0.829,0.587763289869609,0.351,0.527162977867203,0.416,NA,NA,NA,NA,0.764,0.51,0.679,0.571,0.735,0.418,0.589,0.512,0.731,0.51,0.677,0.571,0.908,0.74,0.871,0.807,0.894,0.676,0.841,0.793,0.860271115745568,0.63003663003663,0.781569965870307,0.71760391198044,0.896,0.82,0.846,0.842
0,"high","none",0.4,0.592555331991952,0.069,0.365,0.186,0.608608608608609,0.196,0.461,0.349,NA,NA,NA,NA,0.811,0.474,0.686,0.581,0.798,0.469,0.669,0.566,0.796,0.484,0.681,0.588,0.775964391691395,0.407636738906089,0.710653753026634,0.587027027027027,0.902,0.816,0.915,0.879,0.925925925925926,0.927,0.966,0.953,0.9,0.813,0.859,0.837
