"","condition","k","k.label","delta","delta.label","qrpEnv","qrp.label","selProp","selProp.label","tau","tau.label","method","meanEst","ME","RMSE","MAD","perc2.5","perc97.5","coverage","consisZero"
"77",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","3PSM",0.203975091245338,0.003975091245338,0.0578120096815363,0.046477674806534,0.0872646110263922,0.307603727132219,0.931,0.105
"78",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.306734487585043,0.106734487585042,0.108253522033838,0.106734487585042,0.27066532851367,0.341265405448408,0,0
"79",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.26020717018635,0.0602071701863502,0.0734942256564286,0.0606237330283966,0.199836783330423,0.341937640221282,0.41,0
"80",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.104307898835395,-0.0956921011646047,0.25425870249958,0.200741894289722,-0.379167331340761,0.55062224104528,0.884,0.862
"81",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.191867202124682,-0.00813279787531804,0.125415783000819,0.0997758553188413,-0.0613758493562568,0.432664466271488,0.905,0.559
"82",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.101120837418439,-0.0988791625815608,0.226760457242582,0.183037160783671,-0.297989801671993,0.440885167521022,0.858,0.881
"83",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"84",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"85",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.349902201485485,0.149902201485485,0.151415042947637,0.149902201485485,0.30685329110035,0.389690350503241,NA,NA
"86",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.345232521095803,0.145232521095803,0.14685626772553,0.145232521095803,0.30215211225038,0.384829508936483,0,0
"87",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.306734487585043,0.106734487585042,0.108253522033838,0.106734487585042,0.27066532851367,0.341265405448408,0,0
"88",200,100,"k = 100",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","3PSM",0.205790873937394,0.00579087393739432,0.0447064389806965,0.0358968346716234,0.117604600366125,0.29116858918905,0.929,0.019
"89",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.520718649515471,0.0207186495154713,0.0684311879267376,0.0542959246566006,0.397372441262505,0.655154064354619,0.902,0
"90",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.518372241430773,0.0183722414307726,0.0712198552740476,0.0567547843920781,0.389179342455235,0.658813695469373,0.9,0
"91",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.0719467784130109,-0.428053221586989,1.08191991944784,0.833428746192793,-2.13288317294649,1.96609719890519,0.908,0.915
"92",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.284078151563375,-0.215921848436625,0.552622641943029,0.428469418012433,-0.841036904198522,1.2721036103262,0.915,0.846
"93",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.0749487289117402,-0.42505127108826,0.994428385954448,0.776231389279827,-1.78454780256484,1.78131596532862,0.911,0.931
"94",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"95",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"96",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.51903218413717,0.01903218413717,0.10544655851663,0.0651216708273945,0.374779947540815,0.663641589123002,NA,NA
"97",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.524604566206258,0.0246045662062575,0.0738429036348085,0.0590271598675639,0.39463013667895,0.657868061270436,0.824,0
